Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
54,54,SAT-F.53,49,madhya-vIryam,moderate potency,substances which have a moderate degree of potency,
55,55,SAT-F.54,49,mRuduvIryam,mild potency,which produce only mild action,
56,56,SAT-F.55,49,nirvIryam,having no potency,substances not having any potency,
57,57,SAT-F.56,38,vipAkaH,bio-transformed <em>rasa</em>,<em>vip?ka</em>�is the <em>rasa</em> of the drug after it has undergone digestive and assimilative transformations which is classified into three viz.�<em>ka?u</em> (pungent)�<em>amla</em> (sour)�<em>madhura</em>(sweet),
58,58,SAT-F.57,57,praBAvaH,exceptional activity,"an exceptional or unique therapeutic effect of a dravya by which drugs having similar rasa, gu?a, v?rya and vip?ka  have different therapeutic actions",
59,59,SAT-F.58,57,acintyavIrya,inconceivable potency,synonym of prabh?va,
60,60,SAT-F.59,38,karma,action,"action of dravya which is determined in order of significance by the prabh?va, v?rya, vip?ka  and rasa of that dravya",
61,61,SAT-F.60,60,dIpanam,digestion and metabolism enhancing,therapeutic action which kindles the agni but cannot digest the ?ma,
62,62,SAT-F.61,60,pAcanam,enhancing digestion,"process by which the undigested food, do?a, ?ma etc are digested",
63,63,SAT-F.62,60,saMSamana-karma,"pacifying therapy, alleviating therapy",therapy which neither removes do?a from the body nor increases normal do?a but only corrects the imbalance of do?a,
64,64,SAT-F.63,60,anulomanam,mild purgative action/regularizing physiological movement,"therapeutic action of digesting or transforming the undigested materials (food, do?a etc.) and propels them downward by acting as mild laxatives or normalizing the physiological movements of do?a",
65,65,SAT-F.64,60,sraMsana-karma,laxative,kind of purgatives which separate and remove the undigested substances and toxins adhered to the linings of the intestines without digesting them,
66,66,SAT-F.65,60,Bedanam,drastic purgatives,purgatives which breaks down the hardness of stool and eliminate them,
67,67,SAT-F.66,60,recana-karma/ virecana-karma/ praskandana-karma,a form of osmotic laxative,class of purgatives which liquefies the do?a and eliminate them or substances that expels excreta by increasing its liquid content;,
68,68,SAT-F.67,60,saMSodhanam,eliminative,"expelling out vitiated do?a and mala through various body openings viz mouth, nose, anus, etc",
69,69,SAT-F.68,60,Cedanam,detachment of vitiated do?a,therapeutic action which forcefully separate the do?a  completely and remove them out of body,
70,70,SAT-F.69,60,leKanam,therapeutic scrapping,therapeutic action which dries up body tissues and then literally scraps up the unwanted substances out from the body,
71,71,SAT-F.70,60,grAhI,absorptive,substances with therapeutic action of both d?pana and p?cana which dries up excessive liquid portion due to its u??a property,
72,72,SAT-F.71,60,stamBanam,check any flow through or out of the body,"action of r?k?a, ??ta and ka??ya dravya which increase v?ta and check any flow through or out of the body or has styptic action",
73,73,SAT-F.72,60,Sukrajananam,reproductive tissue promoting,therapeutic measure having spermatogenic properties,
74,74,SAT-F.73,60,SukraprasAdanam,normalizers of semen,substances or therapeutic action which bring back normalcy in quality/ quanity of semen/sperm,
75,75,SAT-F.74,60,SukralaH,semenogague,therapeutic action that causes increase of semen,
76,76,SAT-F.75,60,SukraSodhanam,reproductive tissue depurant,therapy or medicines which have the potency of purifying the semen,
77,77,SAT-F.76,60,SukrotpAdakaH,semenogague/ spematogenic,therapeutic action that generates semen and androgens,
78,78,SAT-F.77,60,Sukrasya ApyAyanam,maintaining normal production of semen,therapeutic measures done to maintain the normal production of the semen,
79,79,SAT-F.78,60,SukrapravartakaH,promoting ejaculation,therapeutic action that causes ejaculation,
80,80,SAT-F.79,60,ShANDhyakara/ puMstvopaGAtin,dravya that hamper male sexual and reproductive ability,�dravya hampering male sexual and reproductive ability,
